ID Javascript_1 Javascript_2 Javascript_3 Javascript_4 HTML_CSS_1 HTML_CSS_2 HTML_CSS_3
A554975 51 37 79 68 A 51 68
C8101079 57 55 56 52 72 72 A
B6910793 57 57 31 31 46 83 60
F3921104 A 61 65 66 61 80 48
F96103510 A A 63 42 A 34 53
E2541710 52 47 46 23 62 56 44
C10880102 63 59 63 66 46 60 57
D420451 73 A 38 61 54 49 31
E056339 57 51 77 66 61 53 56
F942315 56 70 29 68 A A 50
B1146210 57 53 67 74 63 47 68
B9836810 71 68 63 79 83 61 62
F240284 A A 51 57 31 62 87
B5910543 50 53 A 77 57 28 62
B836508 60 75 66 56 75 30 72
C4510294 63 53 A 50 69 63 39
D4941060 48 77 65 A 56 A 80
C316762 A 74 40 65 30 67 A
B416056 47 65 61 60 A 38 56
D678360 52 62 58 40 54 68 39
D547015 41 45 67 A A A 27
D779520 35 44 32 73 54 66 57
F479907 59 77 80 A 65 77 49
A1020595 64 65 58 64 33 66 70
C699467 78 73 69 71 68 A A
F401998 82 73 A 32 83 A 26
E1106802 43 41 35 77 61 63 55
D1047891 A 44 58 74 61 33 60
C425943 38 49 47 49 A 46 56
B10105877 71 42 32 66 56 55 A
C904294 66 60 59 69 A 59 A
B274588 49 40 A 70 56 60 69
E277713 A 65 43 55 43 44 82
D9531018 A A 54 A 41 62 62
C702000 63 46 46 49 A 46 63
F855828 33 A 61 41 54 49 68
F362912 A 62 54 44 49 A 66
D2647108 A A 57 56 42 A 73
E845856 40 36 73 A A 55 A
C8313105 A 76 63 48 74 57 47
C012170 59 61 68 47 56 56 58
F919611 60 58 50 36 63 57 31
B662379 59 A 67 30 75 83 45
E104993 40 72 56 66 78 74 69
D768576 A 81 46 45 58 38 64
F507317 61 68 23 48 47 73 84
F371441 A 74 57 34 71 29 A
D81010668 37 A 62 A 59 46 76
C649728 58 73 62 35 73 64 55
B232196 38 38 A A 57 65 61
B509656 50 A 54 29 74 39 A
E644580 52 50 74 80 A 25 A
E101060410 39 A 45 38 A 43 73
A9410068 53 33 70 78 63 A 45
E678748 37 51 67 69 69 A A
C101086105 68 53 37 79 31 56 70
F664580 54 44 56 67 32 46 40
E905650 78 A 72 61 A A 30
F10720910 82 A 61 A 68 69 33
E6510169 A 63 53 47 55 49 64
A5671106 77 69 A 83 82 58 64
E1028095 52 52 73 32 71 72 76
B888400 64 72 53 A 54 64 56
F802031 57 77 63 A 54 77 79
E0021109 55 76 56 A 49 81 35
F059082 47 60 46 A 57 47 55
F252518 A 50 55 52 35 43 71
E3016103 26 60 72 57 82 56 52
D962979 48 40 67 A 57 58 A
F51094510 33 28 56 61 82 69 41
A6441001 49 63 A A 72 39 72
A10102328 77 A 39 A 64 63 65
F2107104 64 49 40 A 53 44 61
E1057314 46 80 64 83 41 60 76
F41046105 A 23 68 40 80 62 38
F219961 26 72 71 28 77 39 62
F5720810 34 72 A 56 61 68 A
D682250 46 A 51 70 62 A A
C045974 30 52 A 50 46 70 56
D965468 A 58 47 A 36 42 A
